id,seed,time,nodes,length,straight
180,836377,5.568,363,3988.3454,3535.53
181,634450,51.15,2035,5900.7361,3535.53
182,298579,40.1775,641,5208.5864,3535.53
183,272769,104.163,2968,5080.8046,3535.53
184,557143,16.7445,806,4538.798,3535.53
185,362685,30.258,2089,5260.6117,3535.53
186,665592,312.02325,11631,7050.0925,3535.53
187,469807,78.1965,6201,5687.0935,3535.53
188,465215,57.672,3748,5741.9513,3535.53
189,857701,103.2135,5187,5964.8227,3535.53
190,309792,128.052,5655,4690.1359,3535.53
191,108782,44.5215,3346,4779.5502,3535.53
192,592654,8.0685,382,4600.8452,3535.53
193,282031,18.3765,1177,4840.1039,3535.53
194,185174,14.967,698,5514.723,3535.53
195,75764,174.9255,1721,5596.9376,3535.53
196,343699,16.9185,1464,4559.7688,3535.53
197,793882,160.8435,8615,6637.0007,3535.53
198,378396,79.5495,3575,6081.1612,3535.53
199,703418,7.3635,398,4160.6232,3535.53
200,706556,8.067,441,4682.3079,3535.53
201,109693,7.2045,419,4410.5321,3535.53
202,867972,368.1201195,10522,8355.8544,3535.53
203,862651,26.6955,853,4997.6218,3535.53
204,369768,91.137,5246,6435.0589,3535.53
205,907218,31.23,2501,4087.761,3535.53
206,837877,5.5755,302,4021.429,3535.53
207,553326,10.1685,619,4444.8002,3535.53
208,261847,19.689,1054,5085.8619,3535.53
209,468916,9.792,649,4573.6738,3535.53
210,193571,23.805,1563,4657.4643,3535.53
211,730521,53.6595,3589,5243.4107,3535.53
212,783630,34.521,2688,4644.4142,3535.53
213,323287,9.6405,655,4874.1763,3535.53
214,437621,44.835,2748,4961.922,3535.53
215,600574,70.9215,5118,5211.3159,3535.53
216,482193,56.5755,3691,4898.0002,3535.53
217,831996,372.15108,13663,4689.1162,3535.53
218,675470,188.7885,4853,6527.3984,3535.53
219,946806,382.41735,6934,8416.9025,3535.53
220,137295,42.588,3206,4385.4516,3535.53
221,325468,21.507,724,5235.7681,3535.53
222,343992,120.528,5802,6397.4021,3535.53
223,107747,36.591,1996,5449.7506,3535.53
224,554467,75.1335,6559,4794.1968,3535.53
225,314983,39.732,2132,5820.221,3535.53
226,938844,35.601,1136,5078.9712,3535.53
227,683458,10.194,551,4560.737,3535.53
228,719119,62.574,3823,5548.7542,3535.53
229,178651,7.4055,360,4084.5577,3535.53
230,986313,297.117576,6893,6890.2159,3535.53
231,345447,156.5925,9432,7345.7643,3535.53
232,905219,7.569,454,4200.2679,3535.53
233,112598,38.652,2288,4703.1345,3535.53
234,104986,105.8445,4050,6829.2811,3535.53
235,735207,37.059,1973,5602.9425,3535.53
236,678914,21.795,936,5359.2033,3535.53
237,840092,8.616,455,4934.7815,3535.53
238,822409,37.866,3280,4535.0179,3535.53
239,541552,7.6665,480,3978.0969,3535.53
240,906349,18.507,875,4987.7235,3535.53
241,441416,6.336,442,4143.1647,3535.53
242,95700,62.058,1697,7120.8741,3535.53
243,563704,28.293,2388,4511.4103,3535.53
244,704631,338.781,5598,8355.2364,3535.53
245,566302,19.2255,907,5030.9526,3535.53
246,775188,8.0745,454,4380.6518,3535.53
247,352546,15.7065,614,5150.6592,3535.53
248,894632,22.809,1530,4958.7908,3535.53
249,437931,12.9165,806,5034.125,3535.53
250,995968,46.2255,3106,4657.3613,3535.53
